id,name,code,measureName,is_ingredient
f07cbba7-98c1-4fce-9de5-7493c0ce6f9d,Rent,391,,0
8e7f42ae-17fa-4ac6-b176-8c3acf0c0b99,Consulting,392,,0
20c1692f-8ac5-4a57-8ad1-ced5ec1eef24,Construction and renovation,389,,0
c7cfc574-3efb-4896-8160-5345520e8206,vanilla,393,,0
9d91e0d6-0982-4174-b936-6999a2b4ad97,teramisu cream s/f,169,,0
48efe56f-9294-48eb-a85f-fcf3663176d6,arugula s/f,118,,0
29ede99b-823a-4c59-89f4-cd3fea2ac019,broccoli s/f,134,,0
c5ac8fe1-8043-4964-a70d-aca22071cd8c,carrot s/f,142,,0
50135e76-afbc-4b43-bd58-aca50a46b61a,Coconut water,255,,0
ef759bab-8d70-44a8-afda-5143c964f057,cucumber s/f,130,,0
47756f03-4420-43d1-aec6-217c56a289e2,danish rye s/f,174,,0
10958aa4-6743-4af2-86a0-2582cfca5d8b,dragon fruit s/f,126,,0
d1f057c8-487e-4ecf-a539-4f17479b260b,eggplant s/f,162,,0
bf04fd3a-b65d-4133-8778-68fc0889f5f0,emmental cheese s/f,198,,0
0a430917-53a7-484e-a33e-4027831062f8,fresh basil s/f,111,,0
4cb5e07e-4c23-42ca-8fd5-b0860c5d1fd0,mint s/f,128,,0
398ecfe2-269f-4aff-8b7c-c230161ac022,mozzarella s/f,137,,0
e3c0b3ce-a639-4605-bb7e-e2b324c21ab9,mushroom s/f,145,,0
c4b3c2dc-86a6-4827-88ce-532d39901739,paprika fresh s/f,121,,0
5f8b9860-faf2-4997-b1db-1cd43fe96abd,parmesan whole s/f,125,,0
2c0e746c-ca99-4047-b5f6-41ab4a3e9fb7,pineapple s/f,210,,0
0ce91f57-1062-40fd-ae2c-684a9b02f4d8,quinoa s/f,107,,0
c434c1ef-0a10-427a-9cac-3293301c1658,radish s/f,156,,0
55da7cdd-0b58-48b1-abee-c0a1381216f7,red onion s/f,117,,0
076ec7f6-8b52-4dc8-a454-5869bd90dbf8,romaine lettuce s/f,116,,0
f44d5333-f75a-4191-9ce2-da48ba3f37f3,shrimps s/f,120,,0
8bfe1193-e964-44e1-8d32-0664d3b4a242,spring onion s/f,133,,0
79902039-fa8e-424e-b9e4-ff6b54eaeaf5,tomatoes s/f,129,,0
5402f1cb-72df-4684-ac5f-912985567634,Coconut milk s/f,381,,0
a25a160b-0919-4f9b-807f-5d978b451b36,Simple syrup,396,,0
86947fe3-9d4c-46be-8fb5-6b0a037408b4,dill cream cheese s/f,114,,0
12c679f4-e584-457f-8b1c-19294cfec613,pesto sauce s/f,110,,0
80e392e6-e5fd-43f8-a391-843d24737248,tomato salsa,122,,0
bbdcc353-3084-4cee-92bb-9153d44c0c3e,ricotta balls,160,,0
871410c2-ab69-44d8-897d-c128f6b5648d,onion powder,397,,0
8567aaa7-5f74-42b9-8c36-58a112b73248,Garlic powder,398,,0
5ce4d8e9-bf7f-4e44-b57d-9c46f44b88e6,sauce shrimp and grits s/f,140,,0
5f56d210-4d38-4262-8c5e-aabb623ae2dd,rosti sauce s/f,179,,0
aa70857a-1b54-4055-9607-e32622177b43,mustard sauce s/f,167,,0
9e565c60-185d-4597-9c3b-995cc1747a80,beef broth s/f,150,,0
5812b4b5-5939-4943-b296-6a623e05505d,caramel onion s/f,166,,0
74aed880-9e4e-4679-95b2-da457984fa66,beetroot juice s/f,176,,0
ca053ea2-ea10-4d0e-aabf-bdae636ca9f0,greek yogurt s/f,159,,0
f41757a0-3393-4173-b423-738dce7c0968,spinach water,124,,0
794c948d-7431-485f-bff8-b724a8cfc4c6,Grain Mustard,399,,0
5b9a6436-6c5b-4066-ac87-a62209ead851,sunflower oil,400,,0
c6632df3-79f5-4b8a-907d-abdb0556f947,pulled beef s/f,135,,0
b46b6af5-7071-4fdc-bc4a-d0a706eff9ad,zucchini pancakes s/f,164,,0
50d5f749-82c6-4b57-a1ca-5d0b6b3353d5,Oat flakes,403,,0
06860729-d70c-46a9-890c-361de8850a3c,Almond flakes,404,,0
6844a2a3-4e6b-4a31-a612-047509d15240,icing sugar ,405,,0
